Nome,Codigo Profissao,CPF
Consultoria A,2,11111111111
Hospital A,6,22222222222
Consultoria B,5,33333333333
Escritório Engenharia A,12,44444444444
Escritório Engenharia B,11,55555555555
Escritório Engenharia A,14,66666666666
Consultoria B,3,77777777777
Consultoria B,4,88888888888
Consultoria B,5,99999999999
Consultoria C,1,00000000000
Consultoria C,1,00000000001
Escritório Engenharia C,11,00000000002
Hospital A,9,00000000003
Hospital B,6,00000000004
Consultoria D,5,00000000005
Consultoria D,3,00000000006
Hospital C,9,00000000007
Hospital B,6,00000000008
Hospital B,8,00000000009
Hospital C,8,00000000010
