CPF,Tipo,Pais,Rua,Numero,Bairro,Cidade,Estado,Cep,Complemento Cep
11111111111,R,BRASIL,RUA 11001,1,Bairro ABC,Sao Paulo,SP,12345,456
22222222222,R,BRASIL,RUA 11002,A-1,Bairro 123,Minas Gerais,MG,11111,222
33333333333,R,EUA,RUA 11003,A-2,Bairro 124,Nova York,MG,11111,333
44444444444,R,CANADA,RUA 11004,A-3,Bairro 125,Toronto,MG,11111,444
55555555555,R,BRASIL,RUA 11005,100,Bairro XPTO 1,Parana,PR,22222,111
66666666666,R,BRASIL,RUA 11006,101,Bairro XPTO 2,Parana,PR,22222,222
77777777777,R,BRASIL,RUA 11007,2500,Bairro TST,Sao Paulo,SP,55555,777
88888888888,R,BRASIL,RUA 11008,15,Bairro de Sempre,Rio de Janeiro,RJ,10101,333
99999999999,R,BRASIL,RUA 11009,16,Bairro de Sempre 1,Rio de Janeiro,RJ,10101,333
00000000000,R,ARGENTINA,RUA 11010,17,Bairro de Sempre 2,Buenos Aires,RJ,10101,333
00000000001,R,BRASIL,RUA 11001,1,Bairro ABC,Sao Paulo,SP,12345,456
00000000002,R,BRASIL,RUA 11005,100,Bairro XPTO 1,Parana,PR,22222,111
00000000003,R,BRASIL,RUA 11002,A-1,Bairro 123,Minas Gerais,MG,11111,222
00000000004,R,BRASIL,RUA 11014,A-2,Bairro 1241,Rio Grande do Sul,RS,11111,555
00000000005,R,BRASIL,RUA 11015,A-3,Bairro 1251,Santa Catarina,SC,11111,666
00000000006,R,BRASIL,RUA 11016,A-4,Bairro 1261,Mato Grosso Sul,MS,11111,777
00000000007,R,BRASIL,RUA 11008,15,Bairro de Sempre,Rio de Janeiro,RJ,10101,333
00000000008,R,BRASIL,RUA 11007,2500,Bairro TST,Sao Paulo,SP,55555,777
00000000009,R,BRASIL,RUA 11019,1,Bairro ABCD 1,Sao Paulo,SP,12345,101
00000000010,R,BRASIL,RUA 11020,2,Bairro ABCD 2,Sao Paulo,SP,12345,102
22222222222,P,BRASIL,RUA 11021,3,Bairro ABCD 3,Sao Paulo,SP,12345,103
44444444444,P,CANADA,RUA 11022,4,Bairro ABCD 4,Toronto,SP,12345,104
66666666666,P,BRASIL,RUA 11023,5,Bairro ABCD 5,Sao Paulo,SP,12345,105
88888888888,P,BRASIL,RUA 11024,6,Bairro ABCD 6,Sao Paulo,SP,12345,106
00000000000,P,ARGENTINA,RUA 11025,7,Bairro ABCD 7,Buenos Aires,SP,12345,107
00000000001,P,BRASIL,RUA 11026,8,Bairro ABCD 8,Sao Paulo,SP,12345,108
00000000002,P,BRASIL,RUA 11027,9,Bairro ABCD 9,Sao Paulo,SP,12345,109
00000000004,P,BRASIL,RUA 11028,10,Bairro ABCD 10,Sao Paulo,SP,12345,110
00000000008,P,BRASIL,RUA 11029,11,Bairro ABCD 11,Sao Paulo,SP,12345,111
00000000010,P,BRASIL,RUA 11030,12,Bairro ABCD 12,Sao Paulo,SP,12345,112
