CPF,Codigo,Concluido?,Data Termino,Semestre Atual
11111111111,1,Sim,,
22222222222,10,Nao,31/12/2025,6
33333333333,1,Sim,,
44444444444,5,Nao,,
55555555555,5,Sim,,
66666666666,7,Nao,31/12/2025,6
77777777777,1,Nao,31/12/2025,5
88888888888,2,Sim,,
99999999999,2,Sim,,
00000000000,3,Sim,,
00000000001,3,Sim,,
00000000002,6,Nao,31/12/2025,8
00000000003,11,Sim,,
00000000004,11,Nao,31/12/2025,1
00000000005,3,Sim,,
00000000006,4,Nao,31/12/2025,7
00000000007,9,Sim,,
00000000008,9,Nao,31/12/2025,10
00000000009,10,Sim,,
00000000010,11,Sim,,
