CPF,Tipo,Valor
11111111111,3,roberto.santos@email.com
22222222222,3,caique.silva@email.com
33333333333,3,diego.fragoso@email.com
44444444444,3,thiago.gomes@email.com
55555555555,3,adriano.soares@email.com
66666666666,3,douglas.santos@email.com
77777777777,3,caio.vieira@email.com
88888888888,3,davi.fontes@email.com
99999999999,3,silvio.costa@email.com
00000000000,3,marcelo.inacio@email.com
00000000001,3,anapaula.santos@email.com
00000000002,3,cristina.soares@email.com
00000000003,3,helen.silva@email.com
00000000004,3,juliana.costa@email.com
00000000005,3,paula.cavalcante@email.com
00000000006,3,fernanda.abreu@email.com
00000000007,3,samira.fontes@email.com
00000000008,3,evelin.vieira@email.com
00000000009,3,katia.fernandes@email.com
00000000010,3,angelica.miranda@email.com
11111111111,2,11-923456789
22222222222,2,11-923456790
33333333333,2,11-923456791
44444444444,2,11-923456792
55555555555,2,11-923456793
66666666666,2,11-923456794
77777777777,2,11-923456795
88888888888,2,11-923456796
99999999999,2,11-923456797
00000000000,2,11-923456798
00000000001,2,11-923456799
00000000002,2,11-923456800
00000000003,2,11-923456801
00000000004,2,11-923456802
00000000005,2,11-923456803
00000000006,2,11-923456804
00000000007,2,11-923456805
00000000008,2,11-923456806
00000000009,2,11-923456807
00000000010,2,11-923456808
11111111111,1,11-423456789
22222222222,1,11-423456790
33333333333,1,11-423456791
44444444444,1,11-423456792
55555555555,1,11-423456793
66666666666,1,11-423456794
77777777777,1,11-423456795
88888888888,1,11-423456796
99999999999,1,11-423456797
00000000000,1,11-423456798
00000000001,1,11-423456799
00000000002,1,11-423456800
00000000003,1,11-423456801
00000000004,1,11-423456802
00000000005,1,11-423456803
00000000006,1,11-423456804
00000000007,1,11-423456805
00000000008,1,11-423456806
00000000009,1,11-423456807
00000000010,1,11-423456808
