Nome,Sobrenome,Data Nascimento,Sexo,CPF,Estado civil,Conjunge
"Roberto ,Santos,10/05/2002,M,11111111111,CASADO,Ana	Paula Santos"
"Caique ,Silva,12/06/2006,M,22222222222,CASADO,Helen	Silva"
Diego ,Fragoso,11/03/2000,M,33333333333,SOLTEIRO,
Thiago ,Gomes,28/02/2007,M,44444444444,SOLTEIRO,
"Adriano ,Soares,25/01/1999,M,55555555555,CASADO,Cristina	Soares"
Douglas ,Santos,07/01/2007,M,66666666666,SOLTEIRO,
"Caio ,Vieira,30/07/1985,M,77777777777,CASADO,Evelin	Vieira"
"Davi ,Fontes,25/10/2005,M,88888888888,CASADO,Samira	Fontes"
Silvio ,Costa,31/08/1990,M,99999999999,SOLTEIRO,
Marcelo,Inacio,13/11/1980,M,00000000000,SOLTEIRO,
"Ana,Paula Santos,10/06/2002,F,00000000001,CASADO,Roberto 	Santos"
"Cristina,Soares,12/04/2006,F,00000000002,CASADO,Adriano 	Soares"
"Helen,Silva,11/09/2000,F,00000000003,CASADO,Caique 	Silva"
Juliana,Costa,28/10/2007,F,00000000004,SOLTEIRO,
Paula,Cavalcante,25/11/1999,F,00000000005,SOLTEIRO,
Fernanda,Abreu,07/02/2007,F,00000000006,SOLTEIRO,
"Samira,Fontes,30/05/1985,F,00000000007,CASADO,Davi 	Fontes"
"Evelin,Vieira,25/1/2005,F,00000000008,CASADO,Caio 	Vieira"
Katia,Fernandes,31/07/1990,F,00000000009,SOLTEIRO,
Angelica,Miranda,13/5/1980,F,00000000010,SOLTEIRO,
